Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Season
1,Jermaine O'Neal\onealje01,23,IND,52.0,52.0,126,0.413,72,37.6,19.0,10.5,1.6,0.6,2.3,0.479,0.071,0.688,6.4,0.113,2001
2,Ben Wallace\wallabe01,27,DET,16.0,16.0,126,0.127,80,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6,0.19,2001
3,Steve Nash\nashst01,27,DAL,9.0,9.0,126,0.071,82,34.6,17.9,3.1,7.7,0.6,0.0,0.483,0.455,0.887,9.9,0.167,2001
4,Jerry Stackhouse\stackje01,27,DET,7.0,7.0,126,0.056,76,35.3,21.4,4.1,5.3,1.0,0.5,0.397,0.287,0.858,5.8,0.104,2001
5,Brent Barry\barrybr01,30,SEA,6.0,6.0,126,0.048,81,37.5,14.4,5.4,5.3,1.8,0.5,0.508,0.424,0.846,12.1,0.191,2001
6,Wally Szczerbiak\szczewa02,24,MIN,5.0,5.0,126,0.04,82,38.0,18.7,4.8,3.1,0.8,0.3,0.508,0.455,0.831,8.7,0.134,2001
7T,Troy Hudson\hudsotr01,25,ORL,4.0,4.0,126,0.032,81,22.9,11.7,1.8,3.1,0.7,0.1,0.434,0.353,0.876,2.5,0.064,2001
7T,Michael Olowokandi\olowomi01,26,LAC,4.0,4.0,126,0.032,80,32.1,11.1,8.9,1.1,0.7,1.8,0.433,,0.622,1.6,0.029,2001
9T,Kenyon Martin\martike01,24,NJN,3.0,3.0,126,0.024,73,34.3,14.9,5.3,2.6,1.2,1.7,0.463,0.224,0.678,4.9,0.093,2001
9T,Andre Miller\millean02,25,CLE,3.0,3.0,126,0.024,81,37.3,16.5,4.7,10.9,1.6,0.4,0.454,0.253,0.817,10.3,0.163,2001
9T,Michael Redd\reddmi01,22,MIL,3.0,3.0,126,0.024,67,21.1,11.4,3.3,1.4,0.6,0.1,0.483,0.444,0.791,4.6,0.155,2001
12T,Desmond Mason\masonde01,24,SEA,2.0,2.0,126,0.016,75,32.3,12.4,4.7,1.4,0.9,0.4,0.464,0.271,0.848,4.7,0.093,2001
12T,Gary Payton\paytoga01,33,SEA,2.0,2.0,126,0.016,82,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,12.6,0.183,2001
12T,Kenny Thomas\thomake01,24,HOU,2.0,2.0,126,0.016,72,34.5,14.1,7.2,1.9,1.2,0.9,0.478,0.0,0.664,4.4,0.085,2001
12T,Hedo Türkoğlu\turkohe01,22,SAC,2.0,2.0,126,0.016,80,24.6,10.1,4.5,2.0,0.7,0.4,0.422,0.368,0.726,5.2,0.127,2001
16T,Ricky Davis\davisri01,22,CLE,1.0,1.0,126,0.008,82,23.8,11.7,3.0,2.2,0.8,0.3,0.481,0.314,0.79,2.8,0.068,2001
16T,Bobby Jackson\jacksbo01,28,SAC,1.0,1.0,126,0.008,81,21.6,11.1,3.1,2.0,0.9,0.1,0.443,0.361,0.81,5.4,0.148,2001
16T,Todd MacCulloch\maccuto01,26,NJN,1.0,1.0,126,0.008,62,24.2,9.7,6.1,1.3,0.4,1.4,0.531,,0.671,5.6,0.179,2001
