G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Outcome,Player
-5,0,3.8999999999999986,0.7999999999999998,2.3,-0.013000000000000012,-0.1,-0.19999999999999998,0.09999999999999998,0.9999999999999998,2.5,-0.014000000000000012,-0.027000000000000024,0.30000000000000004,0.19999999999999996,0.14400000000000002,1.2,0.19999999999999996,1.5,0.19999999999999996,0.30000000000000004,0.0,-0.09999999999999987,0.3999999999999999,1.7999999999999998,2001,0,Tariq Abdul-Wahad\abdulta01
-10,-12,-3.799999999999999,-0.3999999999999999,-2.0,0.09200000000000003,0.0,0.0,-0.5,-0.3999999999999999,-1.9000000000000004,0.10199999999999998,0.08800000000000002,-0.8,-0.9999999999999999,-0.22699999999999998,-0.7,0.09999999999999987,-0.6000000000000001,0.5,-0.4,-0.2,-0.6000000000000001,-0.3999999999999999,-1.5,2002,0,Tariq Abdul-Wahad\abdulta01
-4,-4,-1.2999999999999972,0.2999999999999998,1.0,-0.010999999999999954,0.19999999999999998,0.09999999999999998,0.11199999999999999,0.20000000000000018,0.9000000000000004,-0.017000000000000015,-0.008000000000000007,-0.09999999999999964,0.20000000000000018,-0.03299999999999992,0.3999999999999999,-0.40000000000000036,-0.09999999999999964,0.0,0.19999999999999996,0.10000000000000009,0.30000000000000027,-0.10000000000000009,0.6999999999999993,2001,0,Shareef Abdur-Rahim\abdursh01
4,4,-0.6000000000000014,-0.7999999999999998,-2.200000000000001,0.01699999999999996,0.0,-0.20000000000000007,0.04999999999999999,-0.7999999999999998,-2.0,0.015000000000000013,0.018000000000000016,0.1999999999999993,-0.09999999999999964,0.039999999999999925,-0.3999999999999999,-0.2999999999999998,-0.5999999999999996,-0.10000000000000009,-0.19999999999999996,-0.6000000000000001,-0.6000000000000001,0.20000000000000018,-1.3000000000000007,2002,0,Shareef Abdur-Rahim\abdursh01
4,-25,-6.5,-1.0999999999999996,-2.1999999999999993,-0.0030000000000000027,-0.19999999999999998,-0.29999999999999993,-0.08499999999999996,-0.9000000000000004,-1.9000000000000004,-0.0030000000000000027,-0.007000000000000006,-1.1999999999999993,-1.7000000000000002,0.028000000000000025,0.0,-0.9000000000000004,-0.9000000000000004,-1.0,-0.30000000000000004,-0.09999999999999998,-0.3999999999999999,-0.3999999999999999,-3.599999999999998,2003,0,Shareef Abdur-Rahim\abdursh01
-31,-7,3.0,0.2999999999999998,0.0,0.028000000000000025,0.19999999999999998,0.29999999999999993,0.12,0.20000000000000018,-0.3000000000000007,0.028000000000000025,0.03400000000000003,-0.3000000000000007,-0.2999999999999998,-0.0030000000000000027,0.09999999999999964,-0.2999999999999998,-0.20000000000000018,0.10000000000000009,0.09999999999999998,0.09999999999999998,0.0,0.19999999999999973,0.5,2004,0,Shareef Abdur-Rahim\abdursh01
18,-19,-7.400000000000002,-1.6000000000000005,-3.5999999999999996,0.02200000000000002,-0.19999999999999998,-0.39999999999999997,-0.158,-1.5,-3.1999999999999993,0.026000000000000023,0.015000000000000013,-1.0999999999999996,-0.8000000000000003,-0.08199999999999996,-0.7999999999999998,-1.5,-2.3,0.0,-0.20000000000000007,0.09999999999999998,-0.7000000000000002,0.40000000000000036,-4.5,2005,0,Shareef Abdur-Rahim\abdursh01
8,15,-2.0,-0.6999999999999997,-0.6000000000000014,-0.051000000000000045,-0.1,0.0,-0.07700000000000001,-0.7000000000000002,-0.5999999999999996,-0.052000000000000046,-0.05300000000000005,-0.8999999999999999,-1.0,-0.05800000000000005,0.0,0.0,0.0,-0.7000000000000002,0.0,-0.09999999999999998,0.0,-0.20000000000000018,-2.4000000000000004,2006,0,Shareef Abdur-Rahim\abdursh01
-74,-45,-16.7,-3.4,-5.8999999999999995,-0.26,0.0,-0.3,-0.15,-3.3,-5.6000000000000005,-0.27,-0.262,-1.4000000000000001,-2.2,0.274,-0.5,-2.8,-3.3,-0.7,-0.49999999999999994,-0.5,-1.3,-1.5,-8.200000000000001,2007,0,Shareef Abdur-Rahim\abdursh01
-9,4,2.3999999999999986,0.2999999999999998,-0.3000000000000007,0.05299999999999999,-0.19999999999999998,-0.39999999999999997,-0.09199999999999997,0.5,0.0,0.056999999999999995,0.043999999999999984,-0.09999999999999987,-0.09999999999999964,-0.009999999999999898,0.20000000000000007,0.2999999999999998,0.3999999999999999,0.5,-0.09999999999999998,0.0,-0.09999999999999987,-0.10000000000000009,0.3000000000000007,2001,0,Courtney Alexander\alexaco02
